Address,City,Total Number of Alerts,Medical,Fire,No Emergency,Public Service,Hazardous Situation,Uncategorized,Law Enforcement Support
"5585 PORT STACY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6190 SANDHURST DR","HORN LAKE",1,1,0,0,0,0,0,0
"3149 ABBEY CHAMP DR","HORN LAKE",1,1,0,0,0,0,0,0
"2877 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 51 N & NAIL RD W","HORN LAKE",1,1,0,0,0,0,0,0
"9115 2ND ST","WALLS",1,1,0,0,0,0,0,0
"7668 AIRWAYS BLVD","SOUTHAVEN",1,1,0,0,0,0,0,0
"6341 RIDGEWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"7122 BRENWOOD DR","HORN LAKE",1,0,0,1,0,0,0,0
"3565 CHURCH RD W","NESBIT",1,1,0,0,0,0,0,0
"7640 ANGEL DR","HORN LAKE",1,0,1,0,0,0,0,0
"3660 CHURCH RD W","HORN LAKE",1,0,1,0,0,0,0,0
"2612 HILLCREST DR","HORN LAKE",1,1,0,0,0,0,0,0
"4237 RAVENWOOD PARK W","HORN LAKE",1,1,0,0,0,0,0,0
"720 WHITE OAKS DR","SOUTHAVEN",1,1,0,0,0,0,0,0
"2920 NORMANDY DR","HORN LAKE",1,1,0,0,0,0,0,0
"SANDHURST DR & SOUTHBROOK DR","HORN LAKE",1,0,0,1,0,0,0,0
"5684 CHAPEL HILL DR","HORN LAKE",1,1,0,0,0,0,0,0
"4227 HIGHGATE DR","HORN LAKE",1,0,1,0,0,0,0,0
"7100 SUTTON PL","HORN LAKE",1,1,0,0,0,0,0,0
"5369 SMALLWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"2437 MOONEYHAM LN","HORN LAKE",1,1,0,0,0,0,0,0
"4170 FOUNTAIN LN","HORN LAKE",1,1,0,0,0,0,0,0
"5602 LAKEFRONT DR","HORN LAKE",1,1,0,0,0,0,0,0
"5746 NATCHEZ DR","HORN LAKE",1,1,0,0,0,0,0,0
"6771 CHASE CV","HORN LAKE",1,1,0,0,0,0,0,0
"FLEETWOOD DR","HORN LAKE",1,0,0,1,0,0,0,0
"4645 SPIKE LN","HORN LAKE",1,1,0,0,0,0,0,0
"1630 THOMAS ST","HORN LAKE",1,1,0,0,0,0,0,0
"4256 MCSWAIN DR","HORN LAKE",1,1,0,0,0,0,0,0
"6290 COLLINWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"6225 JAMESTOWN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"518 ROLLING BROOK CV","SOUTHAVEN",1,1,0,0,0,0,0,0
"735 RASCO RD W","SOUTHAVEN",1,1,0,0,0,0,0,0
"2662 COLLEGE CV","HERNANDO",1,1,0,0,0,0,0,0
"3415 HORN LAKE VILLAS DR","HORN LAKE",1,1,0,0,0,0,0,0
"2140 MACINTOSH DR","HORN LAKE",1,1,0,0,0,0,0,0
"5014 LONGVIEW CV","HORN LAKE",1,1,0,0,0,0,0,0
"6645 RIVERDALE RD","HORN LAKE",1,1,0,0,0,0,0,0
"5180 CRESTWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"5411 PARK PLACE DR","HORN LAKE",1,1,0,0,0,0,0,0
"7248 ESTES CV","WALLS",1,1,0,0,0,0,0,0
"5370 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4795 TRISTAN CV","HORN LAKE",1,0,1,0,0,0,0,0
"6435 RIVERDALE CV","HORN LAKE",1,1,0,0,0,0,0,0
"4920 PECAN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"4072 LOUDEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"2675 MEADOWBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"5951 GROVE LN","HORN LAKE",1,0,0,1,0,0,0,0
"5642 CAROLINE DR","HORN LAKE",1,1,0,0,0,0,0,0
"1102 BRANDYWINE DR","SOUTHAVEN",1,1,0,0,0,0,0,0
"6111 NAIL RD W","WALLS",1,1,0,0,0,0,0,0
"2915 BROOK CV","HORN LAKE",1,1,0,0,0,0,0,0
"4776 LAKE CV","HORN LAKE",1,1,0,0,0,0,0,0
"2700 MEADOWBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"4489 SHADOW HOLLOW DR","HORN LAKE",1,1,0,0,0,0,0,0
"6785 NORTHWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"5307 DESOTO RD W","HORN LAKE",1,0,0,1,0,0,0,0
"4374 BRADFORD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4127 RAVENWOOD PARK W","HORN LAKE",1,0,1,0,0,0,0,0
"6665 DUNBARTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"2896 HEATHERGLEN CV W","HORN LAKE",1,1,0,0,0,0,0,0
"7183 WINDSOR DR","HORN LAKE",1,1,0,0,0,0,0,0
"2695 KENTWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"7451 CRYSTAL DR","HORN LAKE",1,0,0,1,0,0,0,0
"7032 TUDOR LN","HORN LAKE",1,1,0,0,0,0,0,0
"5621 CAROLINE DR","HORN LAKE",1,0,0,0,0,1,0,0
"6380 GREENBROOK CV S","HORN LAKE",1,0,1,0,0,0,0,0
"5771 NAIL RD W","HORN LAKE",1,0,1,0,0,0,0,0
"7117 TUDOR LN","HORN LAKE",1,1,0,0,0,0,0,0
"6515 GREENBRIAR DR","HORN LAKE",1,1,0,0,0,0,0,0
"6105 SOMERSET DR","HORN LAKE",1,1,0,0,0,0,0,0
"3974 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"1534 AUDREY LN","HORN LAKE",1,1,0,0,0,0,0,0
"2848 NORMANDY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6772 KIRKLAND CV","HORN LAKE",1,1,0,0,0,0,0,0
"4715 CHURCH RD W","NESBIT",1,1,0,0,0,0,0,0
"3349 COUNTRYSIDE CIR","HORN LAKE",1,1,0,0,0,0,0,0
"6540 HERMITAGE RD","HORN LAKE",1,0,1,0,0,0,0,0
"5540 COREY CV","HORN LAKE",1,1,0,0,0,0,0,0
"5761 INGLESIDE DR","HORN LAKE",1,0,1,0,0,0,0,0
"3352 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5020 WOODY CV","HORN LAKE",1,1,0,0,0,0,0,0
"7302 DURANGO DR","HORN LAKE",1,1,0,0,0,0,0,0
"5550 CHOCTAW DR","HORN LAKE",1,0,1,0,0,0,0,0
"6530 HERMITAGE RD","HORN LAKE",1,1,0,0,0,0,0,0
"FOUNTAIN LN & HORN LAKE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"3019 CAITLYNN CIR S","HORN LAKE",1,1,0,0,0,0,0,0
"6455 GREENBROOK CV N","HORN LAKE",1,1,0,0,0,0,0,0
"4105 PENWELL DR","HORN LAKE",1,1,0,0,0,0,0,0
"2710 MAGNOLIA DR","HORN LAKE",1,1,0,0,0,0,0,0
"3751 WARRINGTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"7775 ANGEL DR","HORN LAKE",1,1,0,0,0,0,0,0
"3535 LAKEHURST DR","HORN LAKE",1,1,0,0,0,0,0,0
"5859 INGLESIDE DR","HORN LAKE",1,0,1,0,0,0,0,0
"7051 DUNBARTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"RIDGETOP DR & CHURCH RD W","HORN LAKE",1,0,1,0,0,0,0,0
"3360 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7330 HALLE CV","WALLS",1,1,0,0,0,0,0,0
"5661 CHOCTAW DR","HORN LAKE",1,1,0,0,0,0,0,0
"2401 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5472 RIDGEFIELD DR","HORN LAKE",1,0,1,0,0,0,0,0
"6515 RIVERDALE RD","HORN LAKE",1,1,0,0,0,0,0,0
"5778 CHANCE DR N","HORN LAKE",1,1,0,0,0,0,0,0
"7633 WOODSHIRE DR","HORN LAKE",1,1,0,0,0,0,0,0
"3019 CAITLYNN CIR N","HORN LAKE",1,1,0,0,0,0,0,0
"4182 SHADOW RIDGE DR","HORN LAKE",1,1,0,0,0,0,0,0
"GOODMAN RD W & POPLAR CORNER RD","WALLS",1,1,0,0,0,0,0,0
"709 DESOTO CV","HORN LAKE",1,1,0,0,0,0,0,0
"1634 JOY BLVD","HORN LAKE",1,1,0,0,0,0,0,0
"3786 WOODLAND DR","HORN LAKE",1,1,0,0,0,0,0,0
"6500 WALNUT GROVE RD","HORN LAKE",1,1,0,0,0,0,0,0
"5008 GRAY DR","HORN LAKE",1,1,0,0,0,0,0,0
"3410 DORCHESTER CV","HORN LAKE",1,1,0,0,0,0,0,0
"2506 TALL TREES DR","HORN LAKE",1,1,0,0,0,0,0,0
"5990 TISHOMINGO DR","HORN LAKE",1,1,0,0,0,0,0,0
"6056 KINGSVIEW DR","HORN LAKE",1,1,0,0,0,0,0,0
"7340 HWY 161","WALLS Building: 14",1,1,0,0,0,0,0,0
"6615 GATEWOOD CIR","HORN LAKE",1,1,0,0,0,0,0,0
"3344 COUNTRYSIDE CIR","HORN LAKE",1,0,0,1,0,0,0,0
"906 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3283 COURT DR","HORN LAKE",1,0,1,0,0,0,0,0
"AIRWAYS BLVD & RASCO RD E","SOUTHAVEN",1,1,0,0,0,0,0,0
"4595 WEALTHY CV","HORN LAKE",1,1,0,0,0,0,0,0
"PINTAIL DR & WINDSOR DR","HORN LAKE",1,1,0,0,0,0,0,0
"2805 DEVON CV","HORN LAKE",1,1,0,0,0,0,0,0
"999 GOODMAN RD W","HORN LAKE",1,0,1,0,0,0,0,0
"CARROLL DR & FOREST GATE RD","HORN LAKE",1,1,0,0,0,0,0,0
"6285 SOUTHBRIDGE CIR","HORN LAKE",1,1,0,0,0,0,0,0
"6465 BARRETTS BEND DR","HORN LAKE",1,1,0,0,0,0,0,0
"5801 PORT STACY DR","HORN LAKE",1,1,0,0,0,0,0,0
"GOODMAN RD W & WINDCHASE DR","HORN LAKE",1,1,0,0,0,0,0,0
"5448 SMALLWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"4373 SHADOW GLEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"6340 SOUTHBRIDGE CIR","HORN LAKE",1,1,0,0,0,0,0,0
"5624 MATTHEW DR","HORN LAKE",1,1,0,0,0,0,0,0
"2810 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"6667 CAMELOT RD","HORN LAKE",1,1,0,0,0,0,0,0
"7169 WILLOW POINT DR","HORN LAKE",1,1,0,0,0,0,0,0
"6868 INTERSTATE BLVD","HORN LAKE",1,1,0,0,0,0,0,0
"3042 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4210 HIGHGATE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6330 YORKSHIRE CV","HORN LAKE",1,1,0,0,0,0,0,0
"7415 NORTHBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"5336 GREENWOOD RD","HORN LAKE",1,0,0,1,0,0,0,0
"4915 ALDEN LAKE DR W","HORN LAKE",1,1,0,0,0,0,0,0
"1427 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7095 TULANE RD N","HORN LAKE Building: 911",1,1,0,0,0,0,0,0
"2710 HAMPDEN CV","HORN LAKE",1,1,0,0,0,0,0,0
"2730 MEADOWBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"6525 BIRCHFIELD CIR","HORN LAKE",1,0,1,0,0,0,0,0
"2640 PINTAIL DR","HORN LAKE",1,1,0,0,0,0,0,0
"6515 LIBERTY ESTATES DR","WALLS",1,1,0,0,0,0,0,0
"6565 YORKSHIRE RD","HORN LAKE",1,1,0,0,0,0,0,0
"7497 SHERRY CV","HORN LAKE",1,1,0,0,0,0,0,0
"3165 CHURCH RD W","NESBIT",1,0,0,1,0,0,0,0
"5437 SMALLWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"7805 SOUTHCREST PKWY","SOUTHAVEN",1,1,0,0,0,0,0,0
"2060 SHARON DR","HORN LAKE",1,1,0,0,0,0,0,0
"1690 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5913 INGLESIDE DR","HORN LAKE",1,1,0,0,0,0,0,0
"TULANE RD N & BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4188 ANDERTON BLVD","HORN LAKE",1,1,0,0,0,0,0,0
"3340 TULANE RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2895 WINDSOR CV","HORN LAKE",1,1,0,0,0,0,0,0
"6677 KENTBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"7427 LEE ANN DR","HORN LAKE",1,1,0,0,0,0,0,0
"5561 SYCAMORE CV","HORN LAKE",1,1,0,0,0,0,0,0
"6650 RIVERDALE RD","HORN LAKE",1,1,0,0,0,0,0,0
"2615 PINEHURST CV","HORN LAKE",1,1,0,0,0,0,0,0
"5745 CHOCTAW DR","HORN LAKE",1,1,0,0,0,0,0,0
"2220 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 61 N & CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2281 HORN LAKE RD N","NESBIT",1,1,0,0,0,0,0,0
"3100 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3135 FAIR MEADOW DR","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 301 N & CHURCH RD W","HORN LAKE",1,0,1,0,0,0,0,0
"7204 BRANDEE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6900 CAMELOT RD","HORN LAKE",1,1,0,0,0,0,0,0
"6640 EMBASSY CIR","HORN LAKE",1,1,0,0,0,0,0,0
"7302 MADELYN CV","HORN LAKE",1,1,0,0,0,0,0,0
"4277 CARROLL DR W","HORN LAKE",1,1,0,0,0,0,0,0
"4023 RAVENWOOD DR N","HORN LAKE",1,1,0,0,0,0,0,0
"6550 CAMELOT RD","HORN LAKE",1,1,0,0,0,0,0,0
"5856 IROQUOIS DR","HORN LAKE",1,1,0,0,0,0,0,0
"3350 TULANE RD W","HORN LAKE",1,0,1,0,0,0,0,0
"6540 CORNWALL RD","HORN LAKE",1,0,0,0,0,0,0,1
"5412 SOLLIE CV","HORN LAKE",1,0,0,1,0,0,0,0
"2600 VALLEYBROOK RD","HORN LAKE",1,1,0,0,0,0,0,0
"2500 VALLEYBROOK RD","HORN LAKE",1,1,0,0,0,0,0,0
"4189 BRIGHTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"7070 HWY 301 N","HORN LAKE",1,1,0,0,0,0,0,0
"2969 NAIL RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5542 PORT STACY DR","HORN LAKE",1,0,1,0,0,0,0,0
"4368 LOUDEN DR","HORN LAKE",1,0,1,0,0,0,0,0
"4205 BRIGHTON DR","HORN LAKE",1,0,1,0,0,0,0,0
"3155 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4110 SOUTHERN MANOR DR","LAKE CORMORANT",1,1,0,0,0,0,0,0
"6510 JAMESTOWN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"7174 WINDSOR DR","HORN LAKE",1,1,0,0,0,0,0,0
"2740 BRENTWOOD CV","HORN LAKE",1,0,1,0,0,0,0,0
"9017 MOSS POINT DR","SOUTHAVEN",1,1,0,0,0,0,0,0
"2565 HILLCREST CV","HORN LAKE",1,1,0,0,0,0,0,0
"6915 TULANE RD E","HORN LAKE",1,1,0,0,0,0,0,0
"7401 BRIARWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"6246 HWY 51 N","HORN LAKE",1,1,0,0,0,0,0,0
"3400 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6280 COLLINWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"6630 WESTBURY AVE","HORN LAKE",1,1,0,0,0,0,0,0
"2895 BRIARWOOD DR","HORN LAKE",1,0,1,0,0,0,0,0
"2155 MACINTOSH DR","HORN LAKE",1,0,0,0,0,0,1,0
"7408 MEADOWBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"TWIN LAKES DR & PATRICIA DR","HORN LAKE",1,1,0,0,0,0,0,0
"2420 GOLDEN CV","HORN LAKE",1,1,0,0,0,0,0,0
"5726 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"GOODMAN RD W & TULANE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"CHURCH RD W & TULANE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"2790 EAST CV","HORN LAKE",1,1,0,0,0,0,0,0
"5741 WINTERWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"3828 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4113 PENWELL DR","HORN LAKE",1,0,1,0,0,0,0,0
"4174 HIGHGATE DR","HORN LAKE",1,1,0,0,0,0,0,0
"4167 GRACE BLVD","HORN LAKE",1,1,0,0,0,0,0,0
"6230 KINGSVIEW DR","HORN LAKE",1,1,0,0,0,0,0,0
"7431 REDBERRY DR","HORN LAKE",1,0,0,1,0,0,0,0
"5801 IROQUOIS DR","HORN LAKE",1,0,1,0,0,0,0,0
"3980 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"TULANE RD N & CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6650 CAMELOT RD","HORN LAKE",1,1,0,0,0,0,0,0
"2370 COLE RD","HORN LAKE",1,0,1,0,0,0,0,0
"1463 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7082 BRENWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4230 ROLLIN OAKS DR","HORN LAKE",1,1,0,0,0,0,0,0
"6210 SANDHURST DR","HORN LAKE",1,1,0,0,0,0,0,0
"3130 FAIR MEADOW DR","HORN LAKE",1,1,0,0,0,0,0,0
"3746 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7299 DURANGO DR","HORN LAKE",1,1,0,0,0,0,0,0
"4065 GOODMAN RD W","HORN LAKE",1,0,0,0,0,0,1,0
"6360 ELLYN CV","HORN LAKE",1,1,0,0,0,0,0,0
"3347 COUNTRYSIDE CIR","HORN LAKE",1,1,0,0,0,0,0,0
"3495 CHERRY CV W","HORN LAKE",1,1,0,0,0,0,0,0
"2555 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4851 TROLLEY LN","HORN LAKE",1,1,0,0,0,0,0,0
"5864 CAROLINE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6425 YORKSHIRE RD","HORN LAKE",1,0,0,0,1,0,0,0
"4198 BRIGHTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"3340 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7317 MALLARD CREEK DR","HORN LAKE",1,1,0,0,0,0,0,0
"5282 LAKEVIEW CV","HORN LAKE",1,1,0,0,0,0,0,0
"7130 REDFERN DR","HORN LAKE",1,0,0,0,0,1,0,0
"Latitude: 34.93219","DeSoto County",1,1,0,0,0,0,0,0
"7011 GOODMAN RD W","WALLS",1,1,0,0,0,0,0,0
"7618 HOLLY RIDGE DR","HORN LAKE",1,0,1,0,0,0,0,0
"2660 MAGNOLIA DR","HORN LAKE",1,1,0,0,0,0,0,0
"5860 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"4266 SHARON DR","HORN LAKE",1,1,0,0,0,0,0,0
"2125 LAKELAND CV","HORN LAKE",1,1,0,0,0,0,0,0
"992 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5811 GRAY CV","HORN LAKE",1,1,0,0,0,0,0,0
"2950 BROOK CV","HORN LAKE",1,1,0,0,0,0,0,0
"3186 SCOTT FARMS CV","HORN LAKE",1,1,0,0,0,0,0,0
"3348 SHADOW OAKS PKWY","HORN LAKE",1,1,0,0,0,0,0,0
"6216 LAKEFRONT DR","HORN LAKE",1,1,0,0,0,0,0,0
"4201 BRIGHTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"7449 DUNBARTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"6570 RIDGEWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"6610 WESTBURY AVE","HORN LAKE",1,0,0,1,0,0,0,0
"5176 WOODY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6113 KENSINGTON RD","HORN LAKE",1,1,0,0,0,0,0,0
"1847 RAPIER RD","HORN LAKE",1,1,0,0,0,0,0,0
"4991 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7120 BENJI AVE","HORN LAKE",1,1,0,0,0,0,0,0
"2472 MOONEYHAM LN","HORN LAKE",1,1,0,0,0,0,0,0
"1971 TISSINGTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"5263 GREENWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"5923 LAURIE DR","HORN LAKE",1,1,0,0,0,0,0,0
"1807 THOMAS ST","HORN LAKE",1,1,0,0,0,0,0,0
"2500 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"5640 CHAPEL HILL DR","HORN LAKE",1,1,0,0,0,0,0,0
"3580 LAKEHURST DR","HORN LAKE",1,1,0,0,0,0,0,0
"7092 LAYNE DR","HORN LAKE",1,1,0,0,0,0,0,0
"4648 SPIKE LN","HORN LAKE",1,1,0,0,0,0,0,0
"3420 LAURELWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"3350 SHADOW OAKS PKWY","HORN LAKE",1,1,0,0,0,0,0,0
"5596 CLARIDGE CT","HORN LAKE",1,1,0,0,0,0,0,0
"7321 CRYSTAL DR","HORN LAKE",1,0,0,1,0,0,0,0
"6143 ANDON CIR","HORN LAKE Near Nail .5/28/26 06:30:18OLN/800360469",1,1,0,0,0,0,0,0
"3265 MAYFAIR DR","HORN LAKE",1,1,0,0,0,0,0,0
"5670 CHAPEL HILL DR","HORN LAKE",1,1,0,0,0,0,0,0
"3520 DORCHESTER DR","HORN LAKE",1,0,1,0,0,0,0,0
"5742 DOVER DR","HORN LAKE",1,1,0,0,0,0,0,0
"4213 LOUDEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"801 DESOTO CV","HORN LAKE",1,1,0,0,0,0,0,0
"1650 YORKHAVEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"7289 DURANGO DR","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 61 N & CHURCH RD W","WALLS",1,1,0,0,0,0,0,0
"3420 LAKEHURST CV","HORN LAKE",1,1,0,0,0,0,0,0
"2650 SOUTHBRIDGE CIR","HORN LAKE",1,1,0,0,0,0,0,0
"7213 LAYNE DR","HORN LAKE",1,1,0,0,0,0,0,0
"4611 JONATHAN DR","HORN LAKE",1,1,0,0,0,0,0,0
"2790 NORMANDY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6485 HEATHER RD","HORN LAKE",1,1,0,0,0,0,0,0
"7273 DOWNING CV","HORN LAKE",1,1,0,0,0,0,0,0
"6270 CALE CV","HORN LAKE",1,1,0,0,0,0,0,0
"4409 RED OAKS DR","HORN LAKE",1,0,0,1,0,0,0,0
"4371 EDMONTON ST","HORN LAKE",1,1,0,0,0,0,0,0
"3940 CARROLL DR","HORN LAKE",1,1,0,0,0,0,0,0
"6705 CAMELOT RD","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 51 N & YORKHAVEN DR","HORN LAKE",1,0,1,0,0,0,0,0
"6810 TIMBER POINT CIR","HORN LAKE",1,1,0,0,0,0,0,0
"7226 DURANGO DR","HORN LAKE",1,0,0,1,0,0,0,0
"4965 JONATHAN DR","HORN LAKE",1,0,0,1,0,0,0,0
"6352 ELLYN CV","HORN LAKE",1,1,0,0,0,0,0,0
"MEADOWBROOK DR & HURT RD","HORN LAKE",1,1,0,0,0,0,0,0
"5573 W AVALON DR W","HORN LAKE",1,0,0,0,0,1,0,0
"5111 CAROLINE DR","HORN LAKE",1,1,0,0,0,0,0,0
"7125 DESOTO CV","HORN LAKE",1,1,0,0,0,0,0,0
"6300 JAMESTOWN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"7099 HAMPTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"2771 KENTWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"4560 VENTURE DR","SOUTHAVEN",1,1,0,0,0,0,0,0
"6800 COUNTRY WOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"2900 HEATHERGLEN CV W","HORN LAKE",1,1,0,0,0,0,0,0
"1415 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"JOY BLVD & HWY 51 N","HORN LAKE",1,1,0,0,0,0,0,0
"JOY BLVD & LACY CV","HORN LAKE",1,1,0,0,0,0,0,0
"1377 ARBOR LAKE DR S","HORN LAKE",1,0,1,0,0,0,0,0
"6363 HWY 301 N","HORN LAKE",1,0,0,1,0,0,0,0
"7212 LAYNE DR","HORN LAKE",1,1,0,0,0,0,0,0
"7461 DUNBARTON DR","HORN LAKE",1,0,0,1,0,0,0,0
"4339 MCSWAIN DR","HORN LAKE",1,0,0,1,0,0,0,0
"3345 TULANE RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2952 CHURCHWELL DR","HORN LAKE",1,1,0,0,0,0,0,0
"1241 COMMERCE PKWY","HORN LAKE",1,1,0,0,0,0,0,0
"108 CLARINGTON DR","SOUTHAVEN",1,1,0,0,0,0,0,0
"6230 CARROLL CV E","HORN LAKE",1,0,1,0,0,0,0,0
"2730 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7471 JENNIFER DR","HORN LAKE",1,1,0,0,0,0,0,0
"6395 JAMESTOWN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"5768 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"2890 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4904 RICHARD PLACE CV","HORN LAKE",1,0,1,0,0,0,0,0
"3665 HEATHCLIFF DR","HORN LAKE",1,1,0,0,0,0,0,0
"DUNBARTON DR & DORCHESTER DR","HORN LAKE",1,1,0,0,0,0,0,0
"5943 RICHARD PLACE DR","HORN LAKE",1,1,0,0,0,0,0,0
"4040 SUMMER CIR W","WALLS",1,1,0,0,0,0,0,0
"2145 LAKELAND CV","HORN LAKE",1,0,0,0,0,1,0,0
"2319 PAPPY LN","HORN LAKE",1,1,0,0,0,0,0,0
"6900 HWY 51 N","HORN LAKE",1,1,0,0,0,0,0,0
"7094 BRANDEE DR","HORN LAKE",1,0,0,0,0,1,0,0
"3968 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3655 PEMBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"2644 PINTAIL DR","HORN LAKE",1,0,0,0,0,1,0,0
"125 GOODMAN RD E","SOUTHAVEN",1,1,0,0,0,0,0,0
"7178 DESOTO CV","HORN LAKE",1,1,0,0,0,0,0,0
"6640 MAYFAIR CV","HORN LAKE",1,1,0,0,0,0,0,0
"6760 HURT RD","HORN LAKE",1,0,0,1,0,0,0,0
"4056 LOUDEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"5695 TUCKER LNDG","HORN LAKE",1,0,0,1,0,0,0,0
"3615 DORCHESTER DR","HORN LAKE",1,1,0,0,0,0,0,0
"HWY 51 N & COMMERCE PKWY","HORN LAKE",1,1,0,0,0,0,0,0
"GOODMAN RD W & TULANE RD E","HORN LAKE",1,1,0,0,0,0,0,0
"5782 GROVE LN","HORN LAKE",1,1,0,0,0,0,0,0
"6505 FOREST GATE RD","HORN LAKE",1,1,0,0,0,0,0,0
